id,calories,proteins,fat,carbohydrate,name,image
1056,110,11.5,2,11.7,Rusip,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rusip.jpg
1057,198,24.6,10.7,0.9,RW anjing masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/RW_anjing_masakan.jpg
1058,449,30.6,25.5,31.9,Saga biji tanpa kulit,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Saga_biji_tanpa_kulit.jpg
1059,338,0.6,0.3,83.1,Sagu Ambon ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_Ambon_.jpg
1060,355,0.6,1.1,85.6,Sagu aren kering,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_aren_kering.jpg
1061,231,0.6,0.2,56.6,Sagu aren segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_aren_segar.jpg
1062,291,0.5,4,63.4,Sagu forno,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_forno.jpg
1063,230,0.6,0.2,56.5,Sagu kasbi segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_kasbi_segar.jpg
1064,452,2.8,14.8,76.8,Sagu Lemak (Kue Sagon),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_Lemak_(Kue_Sagon).jpg
1066,364,0.1,0.2,90.5,Sagu Rendang,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_Rendang.jpg
1067,362,0.5,0.3,86.9,Sagu singkong kering,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_singkong_kering.jpg
1068,354,0.8,8.3,68.9,Sagu sinole,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sagu_sinole.jpg
1069,57,0.5,0.1,13.6,Salak bali segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Salak_bali_segar.jpg
1070,55,0.4,0.2,12.8,Salak medan segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Salak_medan_segar.jpg
